Zeit t / s;Ereignisse N_A;Kanal n_A;Energie E_A / keV;Rate R_A / 1/s
0;0;0;0,102714285714285;
1,001;0;1;0,15792857142857;15,3110700895949
2;1;2;0,213142857142856;6,00006180063655
3;0;3;0,268357142857141;6,66135608556512
3,999;0;4;0,32357142857143;19,0007752316295
5;0;5;0,378785714285716;9,99204189374507
6,001;0;6;0,434000000000001;9,99813257101646
7,001;0;7;0,489214285714286;12,0163759170998
8;0;8;0,544428571428572;12,0009720787384
9;0;9;0,599642857142857;4,44118214942335
10,001;0;10;0,654857142857143;16,6583078979481
11,001;0;11;0,710071428571428;15,5348562226864
12;0;12;0,765285714285714;14,0193116017314
13;0;13;0,820500000000003;18,9967686496527
14;0;14;0,875714285714288;13,3309737509794
15;0;15;0,930928571428574;8,87733848514877
16;0;16;0,986142857142859;10,0071891646959
17;0;17;1,04135714285714;14,012277557596
18,001;0;18;1,09657142857143;15,5420719446951
19;0;19;1,15178571428572;12,0104755367632
20,001;0;20;1,207;15,5303325698696
20,999;0;21;1,26221428571429;13,0100776061137
22;0;22;1,31742857142857;13,3279888098206
23;0;23;1,37264285714286;9,99883235857679
24;0;24;1,42785714285714;11,0034110574278
25;0;25;1,48307142857143;19,9825130807751
26;0;26;1,53828571428571;12,2216926155422
27,001;0;27;1,5935;15,0214295714266
28;0;28;1,64871428571429;9,98973720997295
29;0;29;1,70392857142857;12,220884714284
30;0;30;1,75914285714286;16,6661444608069
31;0;31;1,81435714285714;13,3297653994614
32,001;0;32;1,86957142857143;14,406868130833
33;0;33;1,92478571428571;12,0103841781604
34;0;34;1,98;13,0106062462119
35;0;35;2,03521428571429;13,9986631276713
36,001;0;36;2,09042857142857;14,4193963508279
37,001;0;37;2,14564285714286;14,0232814518664
38;0;38;2,20085714285714;11,0060676450927
39;0;39;2,25607142857143;14,4273128119976
39,999;1;40;2,31128571428571;12,2081584237181
41;1;41;2,3665;8,00846735253183
42;1;42;2,42171428571429;7,00898201044639
43;4;43;2,47692857142857;13,313809371546
43,999;3;44;2,53214285714286;17,9944990816307
