Zeit t / s;Ereignisse N_A;Kanal n_A;Energie E_A / keV;Rate R_A / 1/s
0;15;0;0,102714285714285;
1,001;10;1;0,15792857142857;223,644772679816
2,001;2;2;0,213142857142856;238,33369100077
3,001;0;3;0,268357142857141;229,581956765836
4;0;4;0,32357142857143;240,336543261529
5,001;0;5;0,378785714285716;225,145440627373
6,001;0;6;0,434000000000001;244,342397000917
7,001;0;7;0,489214285714286;240,939722655062
8,001;0;8;0,544428571428572;227,09119982585
9,001;0;9;0,599642857142857;226,642038231845
10,001;0;10;0,654857142857143;246,467219915262
11,001;0;11;0,710071428571428;218,868897530379
12,001;0;12;0,765285714285714;222,088946623123
13,001;0;13;0,820500000000003;251,802284845939
14;0;14;0,875714285714288;260,104119679108
15,001;0;15;0,930928571428574;230,691253030595
16;0;16;0,986142857142859;212,297194843061
17,001;0;17;1,04135714285714;228,472941206481
18,001;0;18;1,09657142857143;230,322520625632
19,001;0;19;1,15178571428572;243,189338224067
20,001;0;20;1,207;230,831420373425
21;0;21;1,26221428571429;244,448808011509
22;0;22;1,31742857142857;218,755671790178
23;0;23;1,37264285714286;230,131773453479
24,001;0;24;1,42785714285714;233,167732428258
25,001;0;25;1,48307142857143;225,864707040483
26,001;0;26;1,53828571428571;223,089391919342
27,001;0;27;1,5935;204,072873092071
28;0;28;1,64871428571429;216,302758971733
29,001;0;29;1,70392857142857;205,182101333118
30;0;30;1,75914285714286;257,360252881984
31,001;0;31;1,81435714285714;231,800217049294
32,001;0;32;1,86957142857143;213,298746223961
33,001;0;33;1,92478571428571;235,126893104216
34,001;0;34;1,98;237,332692969004
35;0;35;2,03521428571429;257,594999814576
36,001;0;36;2,09042857142857;233,859917909172
37;0;37;2,14564285714286;221,088545962658
38,001;0;38;2,20085714285714;238,45476873492
39,001;0;39;2,25607142857143;226,023722860324
40,001;3;40;2,31128571428571;245,265710286444
41,001;7;41;2,3665;227,318723582335
42;9;42;2,42171428571429;261,745496424734
43,001;12;43;2,47692857142857;255,062208563703
44,001;15;44;2,53214285714286;243,340701315912
45,001;16;45;2,58735714285715;228,851179300122
46,001;23;46;2,64257142857143;226,254506374222
47;26;47;2,69778571428571;243,340847525128
48,001;21;48;2,753;221,818266512429
49,001;34;49;2,80821428571429;227,318473180927
50,001;27;50;2,86342857142857;208,740543942327
51;28;51;2,91864285714286;205,884560526913
52,001;34;52;2,97385714285714;243,957478211548
53;30;53;3,02907142857143;220,088123284563
54,001;27;54;3,08428571428571;191,872779252807
55,001;33;55;3,1395;227,318063434357
56,001;27;56;3,19471428571429;238,455033203477
57,001;24;57;3,24992857142857;231,323853394753
58,001;24;58;3,30514285714286;230,69112510169
59,001;24;59;3,36035714285714;210,294391118126
60;20;60;3,41557142857143;234,278028951213
61,001;25;61;3,47078571428571;236,094721202146
62,001;22;62;3,526;228,726569266899
63,001;16;63;3,58121428571429;211,99322243239
64,001;17;64;3,63642857142857;234,328129679991
65,001;24;65;3,69164285714286;202,963758879942
66,001;25;66;3,74685714285714;221,309833767274
67;15;67;3,80207142857143;236,590405692565
68,001;18;68;3,85728571428571;230,69094600146
69,001;21;69;3,9125;234,32829393981
70;23;70;3,96771428571429;230,691022758668
71,001;25;71;4,02292857142857;258,775372758705
72;27;72;4,07814285714286;262,367445607573
73,001;6;73;4,13335714285714;206,291102254396
74,001;27;74;4,18857142857143;217,304269438067
75;14;75;4,24378571428572;236,23642763496
76,001;22;76;4,299;221,344966129713
77,001;20;77;4,35421428571429;261,092979654191
